Accession,Abundance_MAD,Count_MAD,Relative_MAD,Abundance_MADEV,Count_MADEV,Relative_MADEV,Abundance_MADEVNP,Count_MADEVNP,Relative_MADEVNP
O00468,5245500.46484375,19,0.008021954823728097,669140.59375,3,0.008445945945945946,5976462.5859375,19,0.01667233752977203
O14818,1777231.078125,6,0.002322144817394976,87456.4140625,1,0.005067567567567568,305888.203125,2,0.0010207553589656345
O15230,1304257.9453125,8,0.00253324889170361,310042.00390625,3,0.008445945945945946,1911088.5234375,14,0.011908812521265737
O43707,935678.4375,4,0.00506649778340722,,,0.006756756756756757,852589.140625,4,0.00748553929908132
O75874,1255903.6015625,5,0.0016888325944690733,285880.90625,1,0.005067567567567568,600856.390625,4,0.0023817625042531474
P00338,18309711.8125,11,0.005699810006333122,3355608.21875,3,0.011824324324324325,12445761.625,10,0.00748553929908132
P00491,858945.953125,5,0.001477728520160439,241540.47265625,3,0.005067567567567568,340294.65234375,3,0.002041510717931269
P00750,228821.3203125,3,0.0006333122229259025,,,0.0033783783783783786,435189.9296875,4,0.002041510717931269
P00751,1218433.921875,4,0.001266624445851805,584444.8125,2,0.005067567567567568,1230473.640625,4,0.00374276964954066
P01024,43050979.8164063,51,0.023010344099641124,12775982.65625,20,0.08445945945945946,46151077.234375,49,0.038448451854372234
P01834,15688766.1679688,5,0.01013299556681444,5061409.37890625,4,0.04054054054054054,2755648.390625,4,0.003402517863218782
P01857,29017473.7675781,9,0.02132151150517205,9690600.8515625,7,0.07432432432432433,4448424.53125,7,0.010207553589656346
P01859,1872367.359375,2,0.007810850749419463,749356.890625,2,0.02195945945945946,267030.4921875,2,0.004083021435862538
P01861,239170.7890625,2,0.005277601857715854,90088.8125,1,0.008445945945945946,,,0.001701258931609391
P02751,18332047.1132813,40,0.015199493350221659,157276.5546875,2,0.006756756756756757,11245904.3242188,29,0.019734603606668934
P02765,3480156.75,2,0.0008444162972345366,599619.15625,2,0.005067567567567568,2048199.6875,2,0.001701258931609391
P04083,4467609.26953125,10,0.004433185560481318,1131744.8125,4,0.013513513513513514,1791452.84765625,8,0.005444028581150051
P04264,24941810.21875,15,-,4590042.7421875,6,-,5250460.88671875,9,-
P05387,1915467.1015625,3,0.0021110407430863414,537242.796875,2,0.006756756756756757,1169832.796875,4,0.0027220142905750254
P05787,27123624.3203125,17,-,687213.296875,2,-,7374899.46875,12,-
P06733,24418583.40625,9,0.004222081486172683,1322524.9921875,2,0.006756756756756757,19547566.5,8,0.006464783940115686
P06744,4205351.4765625,9,0.002955457040320878,802422.078125,2,0.0033783783783783786,2513053.265625,6,0.00374276964954066
P07195,4362190.453125,9,0.0035887692632467806,1051850.03710938,5,0.015202702702702704,1565725.0234375,5,0.003402517863218782
P07339,22055975.0507813,13,0.005910914080641756,3191491.65625,6,0.018581081081081082,17971022.4296875,11,0.008166042871725076
